bands/lf,bands/uf,bands/s,bands/u,bands/v
26907500,26932500,Business Radio,Business Radio (Suppliers Light),1
26957000,27283000,Licence exempt,Non-Specific Short Range Devices,1
26960000,27280000,Licence exempt,Model Control,1
26960000,27410000,Licence exempt,Citizens Band Radio,1
27090000,27100000,Licence exempt,Railway Applications,1
27443750,27456250,Licence exempt,Social Alarms,1
27596250,27996250,Licence exempt,Citizens Band Radio,1
28000000,28190000,Amateur,Amateur Radio Intermediate Licence,1
28000000,29700000,Amateur,Amateur Radio Foundation Licence,1
28000000,29700000,Amateur,Amateur Radio Full Licence,1
28000000,29700000,Amateur,Amateur Radio Intermediate Licence,1
29700000,47000000,Public sector,Military,1
30000000,37500000,Licence exempt,Active Medical Implants,1
30005000,30010000,,,0
30005000,30010000,Space Science,Space Operation Service (satellite identification),1
31037500,31212500,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
34500000,34995000,Licence exempt,Databuoy Telemetry,1
34918750,34931250,Licence exempt,Social Alarms,1
34943750,34956250,Licence exempt,Social Alarms,1
34945000,35305000,Licence exempt,Model Control,1
34968750,34981250,Licence exempt,Social Alarms,1
35225000,35500000,Licence exempt,Databuoy Telemetry,1
36610000,36790000,Licence exempt,Wireless audio/multimedia,1
37010000,37190000,Licence exempt,Wireless audio/multimedia,1
37750000,38250000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
39025000,39025001,Licence exempt,Meteor Burst Data Systems,1
39050000,39050001,Licence exempt,Meteor Burst Data Systems,1
39937500,40112500,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
39986000,40020000,,,0
40660000,40700000,Licence exempt,Non-Specific Short Range Devices,1
40660000,41000000,Licence exempt,Model Control,1
40980000,41015000,,,0
46000000,47000000,Space Science,Met Office,1
46400000,46400001,Licence exempt,Meteor Burst Data Systems,1
46950000,46950001,Licence exempt,Meteor Burst Data Systems,1
46975000,46975001,Licence exempt,Meteor Burst Data Systems,1
47400000,47400001,Licence exempt,Vehicle Paging Alarms,1
47418750,47431250,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
47443750,47543750,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
47550000,48800000,PMSE,Audio Distribution System,1
47550000,48800000,PMSE,Programme Making and Special Events (Fixed Site),1
47550000,48800000,PMSE,Programme Making and Special Events (Link),1
47550000,48800000,PMSE,Programme Making and Special Events (Low Power),1
48968800,48981300,Business Radio,Business Radio (Suppliers Light),1
48981300,48993800,Business Radio,Business Radio (Suppliers Light),1
48993750,49006250,Business Radio,Business Radio (Simple Site),1
49000000,49500000,Business Radio,Business Radio (Simple Site),1
49006250,49018750,Business Radio,Business Radio (Simple Site),1
49018750,49031250,Business Radio,Business Radio (Simple Site),1
49031250,49043750,Business Radio,Business Radio (Simple Site),1
49043750,49056250,Business Radio,Business Radio (Simple Site),1
49056250,49068750,Business Radio,Business Radio (Simple Site),1
49068750,49081250,Business Radio,Business Radio (Simple Site),1
49081250,49093750,Business Radio,Business Radio (Simple Site),1
49093750,49106250,Business Radio,Business Radio (Simple Site),1
49106250,49118750,Business Radio,Business Radio (Simple Site),1
49118750,49131250,Business Radio,Business Radio (Simple Site),1
49131250,49143750,Business Radio,Business Radio (Simple Site),1
49143750,49156250,Business Radio,Business Radio (Simple Site),1
49156250,49168750,Business Radio,Business Radio (Simple Site),1
49168750,49181250,Business Radio,Business Radio (Simple Site),1
49181250,49193750,Business Radio,Business Radio (Simple Site),1
49820000,49980000,Licence exempt,Non-Specific Short Range Devices,1
50000000,52000000,Amateur,Amateur Radio Foundation Licence,1
50000000,52000000,Amateur,Amateur Radio Full Licence,1
50000000,52000000,Amateur,Amateur Radio Intermediate Licence,1
51000000,52000000,Amateur,Amateur Radio Foundation Licence,1
51000000,52000000,Public sector,Military,1
52000000,52950000,PMSE,Audio Distribution System,1
52000000,52950000,PMSE,Programme Making and Special Events (Fixed Site),1
52000000,52950000,PMSE,Programme Making and Special Events (Link),1
52000000,52950000,PMSE,Programme Making and Special Events (Low Power),1
53750000,55750000,PMSE,Audio Distribution System,1
53750000,55750000,PMSE,Programme Making and Special Events (Fixed Site),1
53750000,55750000,PMSE,Programme Making and Special Events (Link),1
53750000,55750000,PMSE,Programme Making and Special Events (Low Power),1
55000000,56000000,N/A,Common Base Station Systems,0
55756250,60593750,Business Radio,Business Radio (Area Defined),1
55756250,60593750,Business Radio,Business Radio (Technically Assigned),1
60750000,62750000,PMSE,Audio Distribution System,1
60750000,62750000,PMSE,Programme Making and Special Events (Fixed Site),1
60750000,62750000,PMSE,Programme Making and Special Events (Link),1
60750000,62750000,PMSE,Programme Making and Special Events (Low Power),1
62756250,67993750,Business Radio,Business Radio (Area Defined),1
62756250,67993750,Business Radio,Business Radio (Technically Assigned),1
63500000,64500000,Space Science,Met Office,1
67750000,67837500,PMSE,Audio Distribution System,1
67750000,67837500,PMSE,Programme Making and Special Events (Fixed Site),1
67750000,67837500,PMSE,Programme Making and Special Events (Link),1
67750000,67837500,PMSE,Programme Making and Special Events (Low Power),1
68087500,69987500,Business Radio,Business Radio (Area Defined),1
68087500,69987500,Business Radio,Business Radio (Technically Assigned),1
68618800,68631300,Business Radio,Business Radio (Suppliers Light),1
69156250,69181250,PMSE,Audio Distribution System,1
69156250,69181250,PMSE,Programme Making and Special Events (Fixed Site),1
69156250,69181250,PMSE,Programme Making and Special Events (Link),1
69156250,69181250,PMSE,Programme Making and Special Events (Low Power),1
70000000,70500000,Amateur,Amateur Radio Foundation Licence,1
70000000,70500000,Amateur,Amateur Radio Full Licence,1
70000000,70500000,Amateur,Amateur Radio Intermediate Licence,1
70000000,70500000,Public sector,Military,1
70500000,72787500,Business Radio,Business Radio (Area Defined),1
70500000,72787500,Business Radio,Business Radio (Technically Assigned),1
72368800,72381300,Business Radio,Business Radio (Suppliers Light),1
72800000,74681250,Public sector,Military,1
74681250,74718750,PMSE,Audio Distribution System,1
74681250,74718750,PMSE,Programme Making and Special Events (Fixed Site),1
74681250,74718750,PMSE,Programme Making and Special Events (Link),1
74681250,74718750,PMSE,Programme Making and Special Events (Low Power),1
74718750,76700000,Public sector,Military,1
74800000,75200000,Aeronautical,Aeronautical Navigation Aid Stations,1
75262500,75300000,PMSE,Audio Distribution System,1
75262500,75300000,PMSE,Programme Making and Special Events (Fixed Site),1
75262500,75300000,PMSE,Programme Making and Special Events (Link),1
75262500,75300000,PMSE,Programme Making and Special Events (Low Power),1
76712500,77987500,Business Radio,Business Radio (Area Defined),1
76712500,77987500,Business Radio,Business Radio (Technically Assigned),1
76806250,76843750,PMSE,Audio Distribution System,1
76806250,76843750,PMSE,Programme Making and Special Events (Fixed Site),1
76806250,76843750,PMSE,Programme Making and Special Events (Link),1
76806250,76843750,PMSE,Programme Making and Special Events (Low Power),1
77512500,77550000,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
77681250,77693750,Business Radio,Business Radio (Simple UK),1
78000000,80000000,Public sector,Military,1
78183750,78258750,PMSE,Audio Distribution System,1
78183750,78258750,PMSE,Programme Making and Special Events (Fixed Site),1
78183750,78258750,PMSE,Programme Making and Special Events (Link),1
78183750,78258750,PMSE,Programme Making and Special Events (Low Power),1
80000000,83487500,Business Radio,Business Radio (Area Defined),1
80000000,83487500,Business Radio,Business Radio (Technically Assigned),1
81000000,87000000,N/A,Common Base Station Systems,0
82118800,82131300,Business Radio,Business Radio (Suppliers Light),1
82656250,82681250,PMSE,Audio Distribution System,1
82656250,82681250,PMSE,Programme Making and Special Events (Fixed Site),1
82656250,82681250,PMSE,Programme Making and Special Events (Link),1
82656250,82681250,PMSE,Programme Making and Special Events (Low Power),1
83500000,85000000,Public sector,Military,1
85012500,87487500,Business Radio,Business Radio (Area Defined),1
85012500,87487500,Business Radio,Business Radio (Technically Assigned),1
85868800,85881300,Business Radio,Business Radio (Suppliers Light),1
86306250,86318750,Public sector,Business Radio (Police and Fire),1
86331250,86343750,Business Radio,Business Radio (Simple UK),1
86343750,86356250,Business Radio,Business Radio (Simple UK),1
86356250,86368750,Business Radio,Business Radio (Simple UK),1
86368750,86381250,Business Radio,Business Radio (Simple UK),1
86668750,86681250,PMSE,Audio Distribution System,1
86668750,86681250,PMSE,Programme Making and Special Events (Fixed Site),1
86668750,86681250,PMSE,Programme Making and Special Events (Link),1
86668750,86681250,PMSE,Programme Making and Special Events (Low Power),1
86806250,86843750,PMSE,Audio Distribution System,1
86806250,86843750,PMSE,Programme Making and Special Events (Fixed Site),1
86806250,86843750,PMSE,Programme Making and Special Events (Link),1
86806250,86843750,PMSE,Programme Making and Special Events (Low Power),1
87500000,108000000,Broadcasting,Restricted Radio Services Transmission (Class B - Radiating Cable),1
87500000,108000000,Broadcasting,Restricted Radio Services Transmission (Class C - Freely Radiating Very Low Power),1
87500000,108000000,Broadcasting,Transmission of National and Local Radio Broadcasting Services (FM),1
87500000,108000000,Licence exempt,High Duty Cycle or Continuous Transmission Devices,1
87500000,108000000,Licence exempt,Wireless audio/multimedia,1
108000000,112000000,Aeronautical,Aeronautical Navigation Aid Stations,1
108000000,117975000,Aeronautical,Aeronautical Navigation Aid Stations,1
108000000,138000000,Public sector,Military,1
117975000,137000000,Aeronautical,Aeronautical Station (Aeronautical Broadcast),1
117975000,137000000,Aeronautical,"Aeronautical Station (Air/Ground, AFIS and Tower)",1
117975000,137000000,Aeronautical,Aeronautical Station (Aircraft Communications Addressing and Reporting System),1
117975000,137000000,Aeronautical,Aeronautical Station (Approach),1
117975000,137000000,Aeronautical,Aeronautical Station (Area Control),1
117975000,137000000,Aeronautical,Aeronautical Station (Offshore),1
117975000,137000000,Aeronautical,Aeronautical Station (Very High Frequency Data Link),1
117975000,137000000,Aeronautical,Aircraft,1
117975000,137000000,N/A,Aeronautical Ground Station (Air Traffic/Ground Movement Control),0
117975000,137000000,N/A,Aeronautical Ground Station (Air/Ground Communications Services),0
117975000,137000000,N/A,Aeronautical Ground Station (Airfield Flight Information Service),0
117975000,137000000,N/A,Aeronautical Ground Station (General Aviation),0
117975000,137000000,N/A,Aeronautical Ground Station (Offshore Platform),0
117975000,137000000,N/A,Aeronautical Ground Station (Operations Control),0
118550000,118800000,Aeronautical,Aeronautical Station (Recreational Aviation),1
118675000,118675001,N/A,Aeronautical Ground Station (General Aviation) (Hang/Para Gliders),0
121487500,121512500,Aeronautical,Aircraft,1
121494000,121506000,Maritime,Maritime Radio (Suppliers and Demonstration),1
121494000,121506000,Maritime,Ship Portable Radio,1
121494000,121506000,Maritime,Ship Radio,1
121587500,121612500,Aeronautical,Aeronautical Ground Station (Fire),1
121637500,121662500,Maritime,Maritime Radio (Suppliers and Demonstration),1
122350000,122600000,Aeronautical,Aeronautical Station (Recreational Aviation),1
122475000,122475001,N/A,Aeronautical Ground Station (General Aviation) (Balloon),0
123087500,123112500,Aeronautical,Aircraft,1
123094000,123106000,Maritime,Maritime Radio (Suppliers and Demonstration),1
123094000,123106000,Maritime,Ship Portable Radio,1
123094000,123106000,Maritime,Ship Radio,1
129700000,130250000,Aeronautical,Aeronautical Station (Recreational Aviation),1
129825000,129825001,N/A,Aeronautical Ground Station (General Aviation) (Microlight),0
129900000,129900001,N/A,Aeronautical Ground Station (General Aviation) (Glider),0
129900000,129900001,N/A,Aeronautical Ground Station (General Aviation) (Parachute),0
129975000,129975001,N/A,Aeronautical Ground Station (General Aviation) (Glider),0
130100000,130100001,N/A,Aeronautical Ground Station (General Aviation) (Glider),0
130125000,130125001,N/A,Aeronautical Ground Station (General Aviation) (Glider),0
130275000,130650000,Aeronautical,Aeronautical Station (Recreational Aviation),1
130400000,130400001,N/A,Aeronautical Ground Station (General Aviation) (Glider),0
130525000,130525001,N/A,Aeronautical Ground Station (General Aviation) (Parachute),0
137000000,137025000,,,0
137000000,137025000,Space Science,Space Operations Service,1
137000000,137025000,Space Science,Space Operations Service,1
137000000,138000000,Satellite,Land Mobile-Satellite Service Stations,1
137000000,138000000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
137025000,137175000,,,0
137025000,137175000,Space Science,Space Operations Service,1
137175000,137825000,,,0
137175000,137825000,Space Science,Space Operations Service,1
137825000,138000000,,,0
137825000,138000000,Space Science,Space Operations Service,1
137962000,165043000,Maritime,Coastal Station Radio (UK) Area Defined,1
137962500,165043750,Maritime,Maritime Radio (Suppliers and Demonstration),1
137975000,138200000,Business Radio,Business Radio (Area Defined),1
137975000,138200000,Business Radio,Business Radio (Technically Assigned),1
138000000,141900000,,,0
138200000,138450000,Licence exempt,Non-Specific Short Range Devices,1
139518750,140981250,Business Radio,Business Radio (Area Defined),1
139518750,140981250,Business Radio,Business Radio (Technically Assigned),1
139543750,139556250,PMSE,Audio Distribution System,1
139543750,139556250,PMSE,Programme Making and Special Events (Fixed Site),1
139543750,139556250,PMSE,Programme Making and Special Events (Link),1
139543750,139556250,PMSE,Programme Making and Special Events (Low Power),1
139568750,139581250,PMSE,Audio Distribution System,1
139568750,139581250,PMSE,Programme Making and Special Events (Fixed Site),1
139568750,139581250,PMSE,Programme Making and Special Events (Link),1
139568750,139581250,PMSE,Programme Making and Special Events (Low Power),1
139643750,139668750,PMSE,Audio Distribution System,1
139643750,139668750,PMSE,Programme Making and Special Events (Fixed Site),1
139643750,139668750,PMSE,Programme Making and Special Events (Link),1
139643750,139668750,PMSE,Programme Making and Special Events (Low Power),1
140987500,141487500,PMSE,Audio Distribution System,1
140987500,141487500,PMSE,Programme Making and Special Events (Fixed Site),1
140987500,141487500,PMSE,Programme Making and Special Events (Link),1
140987500,141487500,PMSE,Programme Making and Special Events (Low Power),1
141900000,143000000,,,0
141900000,143000000,Public sector,Military,1
143000000,144000000,Business Radio,Business Radio (Technically Assigned),1
144000000,146000000,Amateur,Amateur Radio Foundation Licence,1
144000000,146000000,Amateur,Amateur Radio Full Licence,1
144000000,146000000,Amateur,Amateur Radio Intermediate Licence,1
146000000,147000000,Amateur,Amateur Radio Full Licence,1
146000000,148000000,Public sector,Business Radio (Police and Fire),1
148018750,148981250,Business Radio,Business Radio (Area Defined),1
148018750,148981250,Business Radio,Business Radio (Technically Assigned),1
148562500,148587500,PMSE,Audio Distribution System,1
148562500,148587500,PMSE,Programme Making and Special Events (Fixed Site),1
148562500,148587500,PMSE,Programme Making and Special Events (Link),1
148562500,148587500,PMSE,Programme Making and Special Events (Low Power),1
148712500,148737500,PMSE,Audio Distribution System,1
148712500,148737500,PMSE,Programme Making and Special Events (Fixed Site),1
148712500,148737500,PMSE,Programme Making and Special Events (Link),1
148712500,148737500,PMSE,Programme Making and Special Events (Low Power),1
149000000,149900000,Public sector,Military,1
149000000,149900000,Satellite,Satellite (Earth Station)(Non-Fixed Satellite Service),1
149000000,150000000,Satellite,Land Mobile-Satellite Service Stations,1
149900000,150050000,Space Science,Radio Navigation Satellite Service,1
150000000,4000000000,N/A,Ground Probing Radar,0
150050000,152000000,Space Science,Recognised Spectrum Access (Radio Astronomy),1
153025000,153475000,Business Radio,Business Radio (Area Defined),1
153025000,153475000,Business Radio,Business Radio (Technically Assigned),1
153037500,153062500,Public sector,Business Radio (Police and Fire),1
153500000,154000000,Public sector,Military,1
154000000,155000000,Business Radio,Business Radio (Technically Assigned),1
155343750,155356250,Public sector,Business Radio (Police and Fire),1
156000000,157500000,Maritime,Coastal Station Radio (International),1
156000000,157500000,Maritime,Coastal Station Radio (International) Area Defined,1
156000000,157500000,Maritime,Ship Portable Radio,1
156000000,157500000,Maritime,Ship Radio,1
156000000,165043000,Maritime,Coastal Station Radio (Training School),1
156512500,156537500,Maritime,AIS (Automatic Identification Systems),1
157012500,157037500,Maritime,Coastal Station Radio (Marina),1
157205000,165037500,Business Radio,Business Radio (Area Defined),1
157205000,165037500,Business Radio,Business Radio (Technically Assigned),1
157450000,158500000,Maritime,Coastal Station Radio (UK),1
157450000,158500000,Maritime,Coastal Station Radio (UK) Area Defined,1
157837500,157862500,Maritime,Coastal Station Radio (Marina),1
158000000,165000000,N/A,Public Mobile Data Systems,0
158781300,158793800,Business Radio,Business Radio (Suppliers Light),1
159181300,159193800,Business Radio,Business Radio (Suppliers Light),1
159243800,159256300,Business Radio,Business Radio (Suppliers Light),1
159343800,159356300,Business Radio,Business Radio (Suppliers Light),1
159393800,159406300,Business Radio,Business Radio (Suppliers Light),1
159418800,159431300,Business Radio,Business Radio (Suppliers Light),1
159443800,159456300,Business Radio,Business Radio (Suppliers Light),1
159481300,159493800,Business Radio,Business Radio (Suppliers Light),1
159493800,159506300,Business Radio,Business Radio (Suppliers Light),1
159581300,159593800,Business Radio,Business Radio (Suppliers Light),1
159600000,164500000,Business Radio,Business Radio (Simple Site),1
159618800,159631300,Business Radio,Business Radio (Suppliers Light),1
159681300,159693800,Business Radio,Business Radio (Suppliers Light),1
160600000,160975000,Maritime,Coastal Station Radio (International),1
160600000,160975000,Maritime,Coastal Station Radio (International) Area Defined,1
160600000,160975000,Maritime,Ship Portable Radio,1
160600000,160975000,Maritime,Ship Radio,1
160975000,161500000,Maritime,Coastal Station Radio (UK),1
161268750,161281250,Licence exempt,General Alarms Associated with Marine Applications including Fixed Shore Installations,1
161412500,161437500,Maritime,Coastal Station Radio (Marina),1
161475000,161975000,Maritime,Coastal Station Radio (International),1
161475000,161975000,Maritime,Coastal Station Radio (International) Area Defined,1
161475000,161975000,Maritime,Ship Portable Radio,1
161475000,161975000,Maritime,Ship Radio,1
161612500,161637500,Maritime,Coastal Station Radio (Marina),1
161962500,161987500,Maritime,AIS (Automatic Identification Systems),1
162000000,163050000,Maritime,Coastal Station Radio (UK),1
162000000,163050000,Maritime,Coastal Station Radio (UK) Area Defined,1
162000000,167000000,N/A,Common Base Station Systems,0
162012500,162037500,Maritime,AIS (Automatic Identification Systems),1
162437000,162465000,Maritime,Differential Global Positioning System,1
162437500,162462500,Maritime,Maritime Navigational Aids and Radar,1
162437500,162462500,Maritime,Maritime Radio (Suppliers and Demonstration),1
163012000,163320000,Maritime,Differential Global Positioning System,1
163012500,163031250,Maritime,Maritime Navigational Aids and Radar,1
163012500,163031250,Maritime,Maritime Radio (Suppliers and Demonstration),1
163281300,163293800,Business Radio,Business Radio (Suppliers Light),1
163681300,163693800,Business Radio,Business Radio (Suppliers Light),1
163743800,163756300,Business Radio,Business Radio (Suppliers Light),1
163843800,163856300,Business Radio,Business Radio (Suppliers Light),1
